Question,Answer
How long does the academic year last?,"The academic year lasts 10 months — from Sept. 1 to June 30 — and consists of two semesters. The first semester begins Sept. 1 and ends Jan. 25, and the second is between Feb. 9 and June 30. Between the semesters, the students are on vacations. The brief winter break lasts two weeks, from Jan. 25 to Feb. 9, and the summer vacations are two months long, from July 1 to Aug. 30. During that time, some students stay in Russia, while others go back home to spend time with their families."
Where can I find the academic calendar?,"The academic year lasts 10 months — from Sept. 1 to June 30 — and consists of two semesters. The first semester begins Sept. 1 and ends Jan. 25, and the second is between Feb. 9 and June 30. Between the semesters, the students are on vacations. The brief winter break lasts two weeks, from Jan. 25 to Feb. 9, and the summer vacations are two months long, from July 1 to Aug. 30. During that time, some students stay in Russia, while others go back home to spend time with their families."
Do you have a vacation between semesters?,"The academic year lasts 10 months — from Sept. 1 to June 30 — and consists of two semesters. The first semester begins Sept. 1 and ends Jan. 25, and the second is between Feb. 9 and June 30. Between the semesters, the students are on vacations. The brief winter break lasts two weeks, from Jan. 25 to Feb. 9, and the summer vacations are two months long, from July 1 to Aug. 30. During that time, some students stay in Russia, while others go back home to spend time with their families."
How many semesters are there?,"The academic year lasts 10 months — from Sept. 1 to June 30 — and consists of two semesters. The first semester begins Sept. 1 and ends Jan. 25, and the second is between Feb. 9 and June 30. Between the semesters, the students are on vacations. The brief winter break lasts two weeks, from Jan. 25 to Feb. 9, and the summer vacations are two months long, from July 1 to Aug. 30. During that time, some students stay in Russia, while others go back home to spend time with their families."
How long does the summer vacation last?,"The academic year lasts 10 months — from Sept. 1 to June 30 — and consists of two semesters. The first semester begins Sept. 1 and ends Jan. 25, and the second is between Feb. 9 and June 30. Between the semesters, the students are on vacations. The brief winter break lasts two weeks, from Jan. 25 to Feb. 9, and the summer vacations are two months long, from July 1 to Aug. 30. During that time, some students stay in Russia, while others go back home to spend time with their families."
What documents are required for admission?,"The papers you need are: passport, documents certifying prior education (with transcripts), medical certificate confirming your good health. The submitted documents have to be translated into Russian."
Should I translate the submitted documents into Russian?,"The papers you need are: passport, documents certifying prior education (with transcripts), medical certificate confirming your good health. The submitted documents have to be translated into Russian."
Do I need to attach a transcript of prior education to the submitted documents?,"The papers you need are: passport, documents certifying prior education (with transcripts), medical certificate confirming your good health. The submitted documents have to be translated into Russian."
What are the tuition fees?,"A program taught in Russian will cost you 250,000 rubles per year. The fees on English-taught programs are higher, at 400,000 rubles per year."
How much should I pay for English-taught programs?,"A program taught in Russian will cost you 250,000 rubles per year. The fees on English-taught programs are higher, at 400,000 rubles per year."
How expensive is it to study in Russian?,"A program taught in Russian will cost you 250,000 rubles per year. The fees on English-taught programs are higher, at 400,000 rubles per year."
Should I insure my life?,"Life and health insurance are obligatory for any foreign citizen arriving in Russia to study. The cost of life and health insurance is 8,200 rubles per year. A student needs to carry the insurance policy specifying the phone number of the insurance company and the emergency health service at all times. All Russian universities have medical offices for first aid and general medical care."
What if I need first aid or general medical care?,"All Russian universities have medical offices for first aid and general medical care."
What’s the cost of life insurance?,"Life and health insurance are obligatory for any foreign citizen arriving in Russia to study. The cost of life and health insurance is 8,200 rubles per year. A student needs to carry the insurance policy specifying the phone number of the insurance company and the emergency health service at all times. All Russian universities have medical offices for first aid and general medical care."
Do you have a medical office in the university?,"All Russian universities have medical offices for first aid and general medical care."
Is life insurance obligatory?,"Life and health insurance are obligatory for any foreign citizen arriving in Russia to study. The cost of life and health insurance is 8,200 rubles per year. A student needs to carry the insurance policy specifying the phone number of the insurance company and the emergency health service at all times. All Russian universities have medical offices for first aid and general medical care."
In which cases can a student be expelled from the university?,"You can be expelled from the university: of your own free will, for health reasons, for poor academic progress. In the latter case, the grounds for expelling a student are: not passing the exams in multiple subjects in the allotted time at the end of a semester, repeatedly failing an exam or not turning up for it in the designated time, failing an exam in front of the board of examiners, which usually convenes after three failed attempts, violating rules of conduct or other regulations."
How many failing attempts are permitted on exams?,"You can be expelled from the university: of your own free will, for health reasons, for poor academic progress. In the latter case, the grounds for expelling a student are: not passing the exams in multiple subjects in the allotted time at the end of a semester, repeatedly failing an exam or not turning up for it in the designated time, failing an exam in front of the board of examiners, which usually convenes after three failed attempts, violating rules of conduct or other regulations."
How to get a bank card?,Visit the social service on the second floor of the building housing the dining hall. The social service is next to local internal affairs office.
Where can I get a bank card?,Visit the social service on the second floor of the building housing the dining hall. The social service is next to local internal affairs office.
How to get a social card?,"To issue a social card, you need to visit a multifunctional center in Moscow. Fill in the application provided at the multifunctional center. You need to have a notarized copy of your passport and your student ID with you. The latter refers to the credential you use daily to gain access to university buildings."
Where can I get a social card?,"To issue a social card, you need to visit a multifunctional center in Moscow. Fill in the application provided at the multifunctional center. You need to have a notarized copy of your passport and your student ID with you. The latter refers to the credential you use daily to gain access to university buildings."
Do I need a social card?,"To issue a social card, you need to visit a multifunctional center in Moscow. Fill in the application provided at the multifunctional center. You need to have a notarized copy of your passport and your student ID with you. The latter refers to the credential you use daily to gain access to university buildings."
What if I have a problem or other questions?,"If you have any further inquiries, you can address them to the International Students Office, which is located in the Auditorium Building, Room 315. The phone number is (7-495) 408-7043."
I need assistance.,"If you have any further inquiries, you can address them to the International Students Office, which is located in the Auditorium Building, Room 315. The phone number is (7-495) 408-7043."
I need help.,"If you have any further inquiries, you can address them to the International Students Office, which is located in the Auditorium Building, Room 315. The phone number is (7-495) 408-7043."
Can you help me?,"If you have any further inquiries, you can address them to the International Students Office, which is located in the Auditorium Building, Room 315. The phone number is (7-495) 408-7043."
